"","PROVINCIA","DISTRITO","NCASOS","NCASOS10MIL","NCASOSKM2","NFALLECIDOS","NFALL10MIL","NFALLKM2","LETALIDAD","TOTALPOB","SUPERFICIE"
"1","LIMA","ANCON",848,134.757182812103,2.97074794184621,33,5.24408848207475,0.115606936416185,3.89,62928,285.45
"2","LIMA","ATE",10976,183.178792915841,141.224909933093,442,7.37655124533542,5.68708183221822,4.03,599196,77.72
"3","LIMA","BARRANCO",896,260.631799406597,269.069069069069,36,10.4718133690151,10.8108108108108,4.02,34378,3.33
"4","CALLAO","BELLAVISTA",4403,588.235294117647,965.570175438597,99,13.2262762020547,21.7105263157895,2.25,74851,4.56
"5","LIMA","BREÑA",2873,336.775721201749,892.23602484472,141,16.5281506054461,43.7888198757764,4.91,85309,3.22
"6","CALLAO","CALLAO",11730,259.938837920489,256.955093099671,588,13.0301821566281,12.8806133625411,5.01,451260,45.65
"7","LIMA","CARABAYLLO",4898,147.067213139366,16.1484949391711,176,5.28457115404825,0.580264415944084,3.59,333045,303.31
"8","LIMA","CHACLACAYO",1019,237.462714392245,25.7974683544304,35,8.15622669649515,0.886075949367089,3.43,42912,39.5
"9","LIMA","CHORRILLOS",6356,202.265140449528,163.225475089882,309,9.83321718044431,7.93528505392912,4.86,314241,38.94
"10","LIMA","CIENEGUILLA",279,80.4405489562911,1.16090375733367,8,2.30653903817322,0.0332875629342987,2.87,34684,240.33
"11","LIMA","COMAS",12243,235.238735709482,251.138461538462,552,10.6062061677395,11.3230769230769,4.51,520450,48.75
"12","LIMA","EL AGUSTINO",8083,406.462773179391,644.577352472089,281,14.1304019873078,22.408293460925,3.48,198862,12.54
"13",NA,"EN INVESTIGACIÓN",1148,NA,NA,NA,NA,NA,NA,NA,NA
"14","LIMA","INDEPENDENCIA",5380,254.542013626041,369.505494505494,221,10.4560938682816,15.1785714285714,4.11,211360,14.56
"15","LIMA","JESUS MARIA",8097,1074.45693281493,1771.77242888403,136,18.0469486060059,29.7592997811816,1.68,75359,4.57
"16","LIMA","LA MOLINA",1855,131.860476688063,28.212927756654,73,5.1891184896111,1.11026615969582,3.94,140679,65.75
"17","CALLAO","LA PERLA",553,90.0402168780631,201.090909090909,50,8.14106843382126,18.1818181818182,9.04,61417,2.75
"18","CALLAO","LA PUNTA",38,99.2426220945417,2.06746463547334,7,18.2815356489945,0.380848748639826,18.42,3829,18.38
"19","LIMA","LA VICTORIA",7791,448.712780049531,891.418764302059,346,19.9274318954098,39.5881006864989,4.44,173630,8.74
"20","LIMA","LIMA",17755,661.63099212974,807.779799818016,699,26.0478774147389,31.8016378525933,3.94,268352,21.98
"21","LIMA","LINCE",1778,324.98035130047,586.798679867987,76,13.8911736213924,25.0825082508251,4.27,54711,3.03
"22","LIMA","LOS OLIVOS",7174,220.139681604497,393.095890410959,240,7.3645837169054,13.1506849315068,3.35,325884,18.25
"23","LIMA","LURIGANCHO",2555,106.098482646358,10.8047532456548,100,4.15258249105118,0.42288662409608,3.91,240814,236.47
"24","LIMA","LURIN",1527,171.197937104098,8.47109730389437,60,6.72683446381524,0.332852546321979,3.93,89195,180.26
"25","LIMA","MAGDALENA DEL MAR",1425,236.357604909604,394.736842105263,55,9.12257422458119,15.2354570637119,3.86,60290,3.61
"26","CALLAO","MI PERU",540,119.213192926684,214.285714285714,25,5.51912930216129,9.92063492063492,4.63,45297,2.52
"27","LIMA","MIRAFLORES",2326,234.152430614977,241.787941787942,54,5.4360409515085,5.61330561330561,2.32,99337,9.62
"28","LIMA","PACHACAMAC",1010,91.7589555832145,6.30343880671535,36,3.27061623860962,0.224677026774012,3.56,110071,160.23
"29","LIMA","PUCUSANA",439,294.808945000336,11.7411072479273,13,8.73010543281177,0.347686547205135,2.96,14891,37.39
"30","LIMA","PUEBLO LIBRE",1769,212.306325984422,403.881278538813,96,11.5214286571535,21.9178082191781,5.43,83323,4.38
"31","LIMA","PUENTE PIEDRA",5437,164.91999696671,74.6738085427826,173,5.24759232577538,2.37604724625738,3.18,329675,72.81
"32","LIMA","PUNTA HERMOSA",129,81.2649615723825,1.07949790794979,5,3.14980471210785,0.0418410041841004,3.88,15874,119.5
"33","LIMA","PUNTA NEGRA",47,66.4404862878145,0.360153256704981,2,2.82725473565168,0.0153256704980843,4.26,7074,130.5
"34","LIMA","RIMAC",5931,339.331178304774,499.66301600674,234,13.3878765340275,19.7135636057287,3.95,174785,11.87
"35","LIMA","SAN BARTOLO",101,134.990644212777,2.24394578982448,7,9.35578722266774,0.15552099533437,6.93,7482,45.01
"36","LIMA","SAN BORJA",2607,230.204773636388,261.746987951807,54,4.76833823412541,5.42168674698795,2.07,113247,9.96
"37","LIMA","SAN ISIDRO",1645,270.848769243435,148.198198198198,30,4.93949123240306,2.7027027027027,1.82,60735,11.1
"38","LIMA","SAN JUAN DE LURIGANCHO",20286,195.340372365779,154.56,981,9.44636228388196,7.47428571428571,4.84,1038495,131.25
"39","LIMA","SAN JUAN DE MIRAFLORES",7991,224.959813523488,347.888550282978,351,9.88122820006813,15.2808010448411,4.39,355219,22.97
"40","LIMA","SAN LUIS",1757,337.352636227487,503.438395415473,50,9.60024576629162,14.3266475644699,2.85,52082,3.49
"41","LIMA","SAN MARTIN DE PORRES",14219,217.388313103994,386.175991309071,582,8.8979533178511,15.8066268332428,4.09,654083,36.82
"42","LIMA","SAN MIGUEL",3359,216.174123461875,313.339552238806,99,6.37131236163312,9.23507462686567,2.95,155384,10.72
"43","LIMA","SANTA ANITA",5720,291.518444147716,535.079513564079,249,12.690225977759,23.2927970065482,4.35,196214,10.69
"44","LIMA","SANTA MARIA DEL MAR",41,410.41041041041,4.17940876656473,NA,NA,NA,NA,999,9.81
"45","LIMA","SANTA ROSA",226,81.1111509887665,10.5854800936768,6,2.1533933890823,0.281030444964871,2.65,27863,21.35
"46","LIMA","SANTIAGO DE SURCO",6020,182.894225160412,167.734745054333,207,6.28888780867198,5.76762329339649,3.44,329152,35.89
"47","LIMA","SURQUILLO",2526,277.512277116773,730.057803468208,103,11.3158212759412,29.7687861271676,4.08,91023,3.46
"48","CALLAO","VENTANILLA",3719,117.839036755387,53.1817531817532,181,5.73510773130545,2.58830258830259,4.87,315600,69.93
"49","LIMA","VILLA EL SALVADOR",9250,235.216933584909,260.857304004512,566,14.392733449628,15.9616469261139,6.12,393254,35.46
"50","LIMA","VILLA MARIA DEL TRIUNFO",6867,172.350181837348,97.3076378064333,328,8.23224983874328,4.64786736573615,4.78,398433,70.57
"51","CALLAO","CARMEN DE LA LEGUA REYNOSO",NA,NA,NA,66,15.625,31.1320754716981,NA,42240,2.12
